,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Cleaned Gene Symbols
16922,ILMN_3009373,0.8962,0.33509738,-1.01,-5.50035,-0.068,A4galt,"alpha 1,4-galactosyltransferase",A4GALT
644,ILMN_2686898,0.2668,0.00380108,3.61,-1.67167,0.5379999999999999,Aaas,"achalasia, adrenocortical insufficiency, alacrimia",AAAS
5672,ILMN_1253601,0.7324,0.09175245,-1.84,-4.49308,-0.11,Aacs,acetoacetyl-CoA synthetase,AACS
17904,ILMN_2594302,0.9027,0.35698256,0.96,-5.54306,0.044,Aadat,aminoadipate aminotransferase,AADAT
1730,ILMN_1238583,0.4798,0.01834105,2.75,-3.0876799999999998,0.17600000000000002,Aagab,alpha- and gamma-adaptin binding protein,AAGAB
14388,ILMN_2896944,0.8787,0.2793138,1.14,-5.37261,0.11,Aamdc,adipogenesis associated Mth938 domain containing,AAMDC
42697,ILMN_1234981,0.9925,0.9359223,-0.0822,-5.99055,-0.006,Aamp,angio-associated migratory protein,AAMP
21510,ILMN_2601546,0.9224,0.43820905,-0.8029999999999999,-5.67435,-0.03,Aar2,AAR2 splicing factor homolog,AAR2
3027,ILMN_1258394,0.5999,0.04014191,-2.31,-3.78189,-0.162,Aars,alanyl-tRNA synthetase,AARS
28126,ILMN_2876302,0.956,0.5938395000000001,0.5479999999999999,-5.84259,0.032,Aars2,"alanyl-tRNA synthetase 2, mitochondrial",AARS2
27289,ILMN_2644455,0.955,0.57560816,0.5760000000000001,-5.82716,0.022,Aasdhppt,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,AASDHPPT
448,ILMN_2657685,0.2188,0.00218247,-3.92,-1.17259,-0.172,Aass,aminoadipate-semialdehyde synthase,AASS
10534,ILMN_2925947,0.8337,0.19400576,-1.38,-5.09994,-0.098,Abat,4-aminobutyrate aminotransferase,ABAT
29392,ILMN_1226851,0.9615,0.62422539,-0.503,-5.86621,-0.018,Abca1,"ATP-binding cassette, sub-family A (ABC1), member 1",ABCA1
26985,ILMN_1216987,0.9527,0.56784711,0.588,-5.82029,0.034,Abca2,"ATP-binding cassette, sub-family A (ABC1), member 2",ABCA2
12737,ILMN_1218274,0.8594,0.24192222,1.23,-5.26748,0.064,Abca5,"ATP-binding cassette, sub-family A (ABC1), member 5",ABCA5
19657,ILMN_2716039,0.9122,0.39621039,-0.8809999999999999,-5.6113,-0.046,Abca7,"ATP-binding cassette, sub-family A (ABC1), member 7",ABCA7
5473,ILMN_3142789,0.7245,0.08763626,-1.87,-4.45447,-0.076,Abcb10,"ATP-binding cassette, sub-family B (MDR/TAP), member 10",ABCB10
5156,ILMN_2648742,0.7071,0.08054209,-1.92,-4.38314,-0.11199999999999999,Abcb4,"ATP-binding cassette, sub-family B (MDR/TAP), member 4",ABCB4
19280,ILMN_2833596,0.9108,0.38791404,-0.897,-5.59768,-0.106,Abcb6,"ATP-binding cassette, sub-family B (MDR/TAP), member 6",ABCB6
354,ILMN_1242482,0.1994,0.00157326,-4.11,-0.8792,-0.218,Abcb8,"ATP-binding cassette, sub-family B (MDR/TAP), member 8",ABCB8
16643,ILMN_1239687,0.8941,0.32879999,1.02,-5.48736,0.038,Abcb9,"ATP-binding cassette, sub-family B (MDR/TAP), member 9",ABCB9
21868,ILMN_2552589,0.9243,0.44648079,0.7879999999999999,-5.68571,0.036,Abcc1,"ATP-binding cassette, sub-family C (CFTR/MRP), member 1",ABCC1
15702,ILMN_2660048,0.8885,0.30834604,1.07,-5.44281,0.068,Abcc10,"ATP-binding cassette, sub-family C (CFTR/MRP), member 10",ABCC10
2984,ILMN_3048492,0.5973,0.03939859,-2.32,-3.7655,-0.20600000000000002,Abcc5,"ATP-binding cassette, sub-family C (CFTR/MRP), member 5",ABCC5
27166,ILMN_2934941,0.9542,0.57247673,0.581,-5.824409999999999,0.024,Abcc6,"ATP-binding cassette, sub-family C (CFTR/MRP), member 6",ABCC6
2271,ILMN_3104271,0.5221,0.02620184,-2.55,-3.40545,-0.15,Abcc9,"ATP-binding cassette, sub-family C (CFTR/MRP), member 9",ABCC9
13486,ILMN_1243944,0.8687,0.25880212,-1.19,-5.31725,-0.086,Abcd2,"ATP-binding cassette, sub-family D (ALD), member 2",ABCD2
204,ILMN_2925281,0.1586,0.0007186,-4.57,-0.18158,-0.384,Abcd3,"ATP-binding cassette, sub-family D (ALD), member 3",ABCD3
7492,ILMN_2982652,0.7765,0.12851786,1.64,-4.7721599999999995,0.24600000000000002,Abce1,"ATP-binding cassette, sub-family E (OABP), member 1",ABCE1
5434,ILMN_2789544,0.7228,0.08677121,1.87,-4.44611,0.12,Abcf2,"ATP-binding cassette, sub-family F (GCN20), member 2",ABCF2
31351,ILMN_2677696,0.9672,0.66997881,0.43700000000000006,-5.89727,0.016,Abcf3,"ATP-binding cassette, sub-family F (GCN20), member 3",ABCF3
30989,ILMN_2441335,0.9670000000000001,0.66186487,0.449,-5.89214,0.04,Abcg1,"ATP-binding cassette, sub-family G (WHITE), member 1",ABCG1
37114,ILMN_1225587,0.9837,0.80631992,0.251,-5.96197,0.01,Abcg4,"ATP-binding cassette, sub-family G (WHITE), member 4",ABCG4
24767,ILMN_2453209,0.943,0.51596925,0.67,-5.76945,0.05,Abhd11,abhydrolase domain containing 11,ABHD11
4920,ILMN_2888454,0.7035,0.07649491,-1.95,-4.33938,-0.146,Abhd14a,abhydrolase domain containing 14A,ABHD14A
9663,ILMN_3007862,0.8241,0.17594819,-1.44,-5.02378,-0.09,Abhd14b,abhydrolase domain containing 14b,ABHD14B
7646,ILMN_1234692,0.7794,0.13162748,1.62,-4.7916300000000005,0.074,Abhd15,abhydrolase domain containing 15,ABHD15
35337,ILMN_2731523,0.9791,0.76440363,0.307,-5.94615,0.02,Abhd16a,abhydrolase domain containing 16A,ABHD16A
