,Gene.symbol,MeanFC,Cleaned Gene Symbols
5114,EPHA2,0.5338526223,EPHA2
5119,EPHA7,-0.3374731432,EPHA7
5123,EPHB3,-0.1304746631,EPHB3
5126,EPHX1,0.9185412579,EPHX1
5127,EPHX2,0.3204638505,EPHX2
5129,EPHX4,-2.0806891376,EPHX4
5132,EPN1,-0.1090393801,EPN1
5133,EPN2,-0.2028936517,EPN2
5137,EPOR,0.350395212,EPOR
5139,EPRS,-0.6858870926,EPRS
5140,EPS15,-0.3738494468,EPS15
5141,EPS15L1,-0.1014041199,EPS15L1
5144,EPS8L2,0.3168373447,EPS8L2
5146,EPSTI1,0.0315041612,EPSTI1
5151,ERAL1,0.0863839923,ERAL1
5152,ERAP1,0.5537309396,ERAP1
5155,ERBB2,-0.2174118021,ERBB2
5157,ERBB3,-0.6484037926,ERBB3
5158,ERBB4,-1.6627579967,ERBB4
5159,ERC1,-0.3835018865,ERC1
5162,ERCC1,-0.3560460588,ERCC1
5164,ERCC3,-0.0030436758,ERCC3
5168,ERCC8,-1.0580306396,ERCC8
5173,ERGIC3,0.0121056206,ERGIC3
5177,ERI3,-0.3014851414,ERI3
5181,ERLIN1,-0.1574676025,ERLIN1
5182,ERLIN2,0.0750763862,ERLIN2
5185,ERMP1,-0.0633847174,ERMP1
5191,ERP29,0.039381073,ERP29
5192,ERRFI1,0.2475463562,ERRFI1
5200,ESD,-0.309768362,ESD
5201,ESF1,0.0923595036,ESF1
5207,ESR1,0.0919366324,ESR1
5210,ESRP1,-1.0377006199,ESRP1
5213,ESRRB,0.7480958387,ESRRB
5214,ESRRG,-1.6256836275,ESRRG
5216,ESYT1,0.1788086299,ESYT1
5219,ETAA1,0.0094615356,ETAA1
5220,ETF1,0.1747830409,ETF1
5221,ETFA,0.0646329024,ETFA
5222,ETFB,-0.1970196121,ETFB
5223,ETFDH,0.0375002103,ETFDH
5224,ETHE1,-0.0461601568,ETHE1
5225,ETNK1,0.4576213861,ETNK1
5226,ETNK2,0.4038383174,ETNK2
5227,ETS1,-0.4797099138,ETS1
5228,ETS2,-0.1497656449,ETS2
5229,ETV1,-0.2815521805,ETV1
5233,ETV4,0.2854414545,ETV4
5237,EVA1B,-0.0775306886,EVA1B
5244,EVL,-0.1482865718,EVL
5253,EXO1,-1.9202139272,EXO1
5254,EXO5,0.8339153385,EXO5
5255,EXOC1,0.1274589382,EXOC1
5256,EXOC2,-0.6725747132,EXOC2
5257,EXOC3,-0.1302918237,EXOC3
5260,EXOC5,-0.0485442705,EXOC5
5261,EXOC6,0.0329153417,EXOC6
5264,EXOC8,0.1436030122,EXOC8
5265,EXOG,-0.7640940246,EXOG
5268,EXOSC2,-0.9289065269,EXOSC2
5269,EXOSC3,-0.0346211061,EXOSC3
5270,EXOSC4,0.1877489942,EXOSC4
5271,EXOSC5,-0.9427269907,EXOSC5
5272,EXOSC7,-0.21040195,EXOSC7
5273,EXOSC8,-1.3441512008,EXOSC8
5274,EXOSC9,-0.754796659,EXOSC9
5277,EXT2,0.197576669,EXT2
5278,EXTL1,-2.4842936547,EXTL1
5279,EXTL2,-0.0519754005,EXTL2
5280,EXTL3,0.0106539318,EXTL3
5286,EZH1,0.1714230444,EZH1
5287,EZH2,0.5254066859,EZH2
5289,F10,-0.0702321527,F10
5295,F2R,-0.3214940246,F2R
5299,F3,-0.2912087047,F3
5309,FABP3,-0.6592176108,FABP3
5313,FABP6,-2.4101626418,FABP6
5316,FADD,0.0869247151,FADD
5317,FADS1,0.1141364404,FADS1
5318,FADS2,-0.2761564344,FADS2
5321,FAF1,-0.403965945,FAF1
5322,FAF2,0.0497577355,FAF2
5323,FAH,0.0175192323,FAH
5324,FAHD1,0.1785838998,FAHD1
5325,FAHD2A,0.0560622857,FAHD2A
5334,FAM103A1,0.12658997,FAM103A1
5342,FAM107B,0.478844202,FAM107B
5348,FAM110A,0.7139638485,FAM110A
5349,FAM110B,-0.4352287974,FAM110B
5350,FAM110C,0.4170527978,FAM110C
5352,FAM111A,0.078615423,FAM111A
5358,FAM117A,0.7077961708,FAM117A
5359,FAM117B,-0.0028956664,FAM117B
5360,FAM118A,-0.7724267628,FAM118A
5364,FAM120B,0.2619485121,FAM120B
5366,FAM122A,-0.3598999259,FAM122A
5372,FAM126B,-0.0328483741,FAM126B
5376,FAM129A,-0.6525505455,FAM129A
5377,FAM129B,-0.0089297426,FAM129B
5388,FAM135A,0.233737956,FAM135A
5390,FAM136A,-0.1481239829,FAM136A
5406,FAM151B,-0.6773143143,FAM151B
5419,FAM160A2,-0.1401850665,FAM160A2
5421,FAM160B2,0.0281907591,FAM160B2
5432,FAM168A,-0.1422810275,FAM168A
5443,FAM173B,-0.1424967879,FAM173B
5471,FAM189B,-0.7896347428,FAM189B
5484,FAM198B,0.3459977481,FAM198B
5504,FAM20B,-0.1640409423,FAM20B
5506,FAM210A,-0.4858753958,FAM210A
5511,FAM212B,0.6303677772,FAM212B
5513,FAM213B,-1.0192614083,FAM213B
5514,FAM214A,0.5774075541,FAM214A
5531,FAM222B,-0.4683559871,FAM222B
5556,FAM32A,0.1370291878,FAM32A
5557,FAM35A,0.0834945457,FAM35A
5560,FAM3A,0.0150670383,FAM3A
5562,FAM3C,0.177712404,FAM3C
5567,FAM43A,0.5024362911,FAM43A
5570,FAM46A,0.7196065305,FAM46A
5571,FAM46B,-0.9333056025,FAM46B
5580,FAM50B,-0.7097301248,FAM50B
5598,FAM69A,-0.055809941,FAM69A
5599,FAM69B,-1.7267340514,FAM69B
5617,FAM76B,0.2710356885,FAM76B
5620,FAM81A,-0.2538660628,FAM81A
5625,FAM83D,-0.0142578653,FAM83D
5652,FAM96A,-0.0306267653,FAM96A
5654,FAM98A,-0.905128805,FAM98A
5663,FANCA,-0.5603217729,FANCA
5665,FANCC,-0.4487587364,FANCC
5666,FANCD2,-2.053024143,FANCD2
5679,FARP2,0.0054035612,FARP2
5680,FARS2,-0.0315752761,FARS2
5682,FARSB,-0.4519433972,FARSB
5683,FAS,1.0929691739,FAS
5689,FASTKD2,-0.3660421758,FASTKD2
5690,FASTKD3,0.1381712453,FASTKD3
5693,FAT3,-0.3283537231,FAT3
5699,FBLIM1,-0.4571200003,FBLIM1
5701,FBLN1,0.1591496602,FBLN1
5705,FBN1,-0.1044255198,FBN1
5712,FBXL12,0.2529584618,FBXL12
5715,FBXL15,0.1479549596,FBXL15
5717,FBXL17,-0.172925559,FBXL17
5721,FBXL20,0.3401152745,FBXL20
5723,FBXL22,-1.0845845605,FBXL22
5724,FBXL3,-0.0306438512,FBXL3
5725,FBXL4,0.0256688666,FBXL4
5726,FBXL5,-0.0763205945,FBXL5
5727,FBXL6,0.5208884351,FBXL6
5728,FBXL7,0.2010025181,FBXL7
5730,FBXO11,0.0698929304,FBXO11
5731,FBXO15,0.1579477381,FBXO15
5732,FBXO16,-2.9160549993,FBXO16
5733,FBXO17,-1.1862994243,FBXO17
5734,FBXO18,0.0452144064,FBXO18
5735,FBXO2,1.0274453947,FBXO2
5737,FBXO22,0.4626076559,FBXO22
5742,FBXO28,0.3602421169,FBXO28
5744,FBXO30,0.0334249268,FBXO30
5745,FBXO31,0.0193928931,FBXO31
5746,FBXO32,0.0915784201,FBXO32
5747,FBXO33,0.5208057964,FBXO33
5748,FBXO34,0.1268433599,FBXO34
5749,FBXO36,-2.4327101308,FBXO36
5752,FBXO4,-1.4828068983,FBXO4
5754,FBXO41,0.5774314602,FBXO41
5755,FBXO42,0.0410690199,FBXO42
5761,FBXO5,-0.7205066129,FBXO5
5762,FBXO6,0.080503288,FBXO6
5763,FBXO7,-0.0650212022,FBXO7
5764,FBXO8,0.1472941206,FBXO8
5765,FBXO9,0.0131218078,FBXO9
5767,FBXW11,0.0480826276,FBXW11
5769,FBXW2,-0.1692317966,FBXW2
5772,FBXW5,0.0594659677,FBXW5
5774,FBXW8,-0.5093838027,FBXW8
5781,FCF1,0.0568333925,FCF1
5791,FCGRT,0.0832302054,FCGRT
5794,FCHSD1,0.0454423232,FCHSD1
5795,FCHSD2,0.1092304509,FCHSD2
5808,FDPS,-0.1199237501,FDPS
5810,FDX1,0.056806738,FDX1
5813,FDXR,1.2915995499,FDXR
5814,FECH,0.0144395452,FECH
5815,FEM1A,0.1124580363,FEM1A
5816,FEM1B,-0.1937795375,FEM1B
5817,FEM1C,0.2665795074,FEM1C
5818,FEN1,0.2189176358,FEN1
5820,FER,0.0855716309,FER
5826,FERMT2,-0.1779711895,FERMT2
5831,FEZ1,0.1492045495,FEZ1
5832,FEZ2,0.0287730973,FEZ2
5845,FGD4,-0.2547427413,FGD4
5850,FGF1,-2.0128874522,FGF1
5851,FGF10,-1.4157033926,FGF10
5852,FGF12,-0.5682998155,FGF12
5853,FGF13,0.4615681796,FGF13
5862,FGF2,0.8924332143,FGF2
5870,FGF7,-2.1027435,FGF7
5872,FGF9,0.1052775791,FGF9
5875,FGFBP3,0.4242090334,FGFBP3
5878,FGFR1OP2,0.2008064808,FGFR1OP2
5879,FGFR2,0.1478277652,FGFR2
5880,FGFR3,1.2245374048,FGFR3
5882,FGFRL1,0.3690666311,FGFRL1
5886,FGL2,#VALUE!,FGL2
5892,FHL1,-0.5554299532,FHL1
5893,FHL2,-0.254963268,FHL2
5899,FIBP,-0.2844479599,FIBP
5901,FIG4,0.04144457,FIG4
5904,FIGNL1,-0.9332044161,FIGNL1
5906,FILIP1,-1.3322726638,FILIP1
5908,FIP1L1,-0.1557363466,FIP1L1
5909,FIS1,-0.2549266481,FIS1
5910,FITM1,-2.2571292655,FITM1
5911,FITM2,-0.152549384,FITM2
5914,FKBP10,0.0519878934,FKBP10
5920,FKBP2,0.038005641,FKBP2
5921,FKBP3,0.025265381,FKBP3
5924,FKBP7,0.0860271752,FKBP7
5925,FKBP8,-0.1232232047,FKBP8
5926,FKBP9,0.0870256647,FKBP9
5929,FKRP,-0.4320836623,FKRP
5931,FKTN,-1.8099662904,FKTN
5933,FLCN,0.1763782541,FLCN
5938,FLII,-0.108601815,FLII
6024,FLNA,0.178190058,FLNA
6026,FLOT1,0.0201000523,FLOT1
6027,FLOT2,-0.1927522809,FLOT2
6029,FLRT2,0.0401571793,FLRT2
6030,FLRT3,-2.9651646953,FLRT3
6031,FLT1,0.1562585886,FLT1
6038,FLYWCH1,-0.1159871376,FLYWCH1
6042,FMNL1,0.1586194052,FMNL1
6051,FMOD,-0.0169284611,FMOD
6052,FMR1,0.0536577501,FMR1
6055,FN1,#VALUE!,FN1
6056,FN3K,-1.0183630112,FN3K
6057,FN3KRP,-0.5741754087,FN3KRP
6058,FNBP1,0.2508975485,FNBP1
6060,FNBP4,-0.3424687382,FNBP4
6062,FNDC3A,-0.0770968643,FNDC3A
6071,FNTA,-0.1772928256,FNTA
6080,FOPNL,-0.5500009242,FOPNL
6081,FOS,0.8228956548,FOS
6112,FOXJ2,-0.1138375405,FOXJ2
6118,FOXM1,-0.5911590474,FOXM1
6121,FOXN3,-0.0938334193,FOXN3
6126,FOXO3,0.1540631489,FOXO3
6127,FOXO4,0.036403006,FOXO4
6128,FOXP1,-0.4244020556,FOXP1
6131,FOXP4,0.315204822,FOXP4
6154,FRK,-1.5925766152,FRK
6164,FRMD8,0.5365502583,FRMD8
6172,FRS2,0.2933732782,FRS2
6173,FRS3,0.0035590117,FRS3
6175,FRZB,0.1296014057,FRZB
6178,FSCN2,-0.0285646098,FSCN2
6187,FST,0.3382974461,FST
6188,FSTL3,-0.0491668438,FSTL3
6191,FTCD,-0.3153890989,FTCD
6199,FTO,-0.5175701531,FTO
6202,FTSJ3,0.008122376,FTSJ3
6206,FUBP1,-0.6340754329,FUBP1
6208,FUCA1,1.0532239182,FUCA1
6209,FUCA2,-0.1010742336,FUCA2
6210,FUK,-0.6415110755,FUK
6211,FUNDC1,-0.2731038735,FUNDC1
6212,FUNDC2,-0.2166087825,FUNDC2
6224,FUT8,0.217188045,FUT8
6229,FXR1,-0.0740359546,FXR1
6230,FXR2,0.0665461645,FXR2
6231,FXYD1,-0.1063548575,FXYD1
6234,FXYD5,0.0192689703,FXYD5
6237,FYCO1,-0.0510469182,FYCO1
6238,FYN,-0.1050179355,FYN
6239,FYTTD1,-0.0006401332,FYTTD1
6240,FZD1,-0.0246623584,FZD1
6244,FZD4,-0.4661230084,FZD4
6245,FZD5,1.1369960116,FZD5
6250,FZR1,-0.3724637241,FZR1
6251,G0S2,-0.2903897069,G0S2
6252,G2E3,-2.2699376132,G2E3
6254,G3BP2,0.1270264434,G3BP2
6257,G6PC3,0.0613621165,G6PC3
6259,GAA,0.1512574393,GAA
6260,GAB2,-0.3991309695,GAB2
6263,GABARAP,-0.2681623187,GABARAP
6267,GABBR1,-0.1895039349,GABBR1
6269,GABPA,0.1171905685,GABPA
6274,GABRA4,-3.919405959,GABRA4
6278,GABRB2,-1.6562466533,GABRB2
6279,GABRB3,0.8990873129,GABRB3
6292,GADD45A,0.3429781438,GADD45A
6293,GADD45B,0.2276176646,GADD45B
6294,GADD45G,0.0292122102,GADD45G
6295,GADD45GIP1,-0.1742206708,GADD45GIP1
6302,GAK,0.0895967032,GAK
6307,GALC,0.3150686646,GALC
6308,GALE,0.2798815463,GALE
6309,GALK1,-0.1610442723,GALK1
6311,GALM,-1.9929343183,GALM
6314,GALNT10,-0.0396310533,GALNT10
6315,GALNT11,0.1341268347,GALNT11
6317,GALNT13,-0.4148536896,GALNT13
6320,GALNT16,0.202943178,GALNT16
6321,GALNT18,-0.6200804666,GALNT18
6322,GALNT2,0.172076193,GALNT2
6324,GALNT5,0.4971510279,GALNT5
6326,GALNT7,0.5750661241,GALNT7
6335,GALT,-0.061146346,GALT
6336,GAMT,-0.2248790329,GAMT
6337,GANAB,0.1254741647,GANAB
6340,GAPDH,-0.0221283894,GAPDH
6344,GAR1,-0.1093419253,GAR1
6348,GARS,-0.463779816,GARS
6351,GAS2,-1.9413361825,GAS2
6352,GAS2L1,-0.3831608214,GAS2L1
6358,GAS7,0.0151954997,GAS7
6359,GAS8,-0.210006184,GAS8
6365,GATA4,-0.2402978234,GATA4
6366,GATA5,-1.47216701,GATA5
6367,GATA6,-0.1544177006,GATA6
6370,GATAD2B,-0.2424630975,GATAD2B
6371,GATC,0.3154262847,GATC
6372,GATM,-0.6325765507,GATM
6378,GBA2,-0.1312004963,GBA2
6381,GBE1,-0.1890156777,GBE1
6386,GBP2,-1.6574093847,GBP2
6395,GCA,0.0796512505,GCA
6398,GCC2,0.4413860314,GCC2
6399,GCDH,-0.0210052152,GCDH
6400,GCFC2,-0.125504441,GCFC2
6403,GCH1,2.0630437151,GCH1
6404,GCHFR,0.3264376407,GCHFR
6405,GCK,-3.5676204975,GCK
6407,GCLC,0.3168358599,GCLC
6408,GCLM,0.298848906,GCLM
6413,GCNT2,-1.02966359,GCNT2
6421,GDAP1,0.0643719102,GDAP1
6423,GDAP2,0.4605188335,GDAP2
6427,GDF11,-0.0909930792,GDF11
6428,GDF15,0.9524568063,GDF15
6432,GDF6,-0.0546055944,GDF6
6435,GDI1,-0.1040126452,GDI1
6436,GDI2,0.0166888925,GDI2
6438,GDPD1,-1.8697247084,GDPD1
6444,GEM,-0.3234494548,GEM
6445,GEMIN2,-2.1065042589,GEMIN2
6446,GEMIN4,-0.4939178713,GEMIN4
6448,GEMIN6,-0.1855947651,GEMIN6
6449,GEMIN8,-0.1432667028,GEMIN8
6451,GEN1,-0.4650004203,GEN1
6453,GFAP,-2.9980270093,GFAP
6457,GFM1,-0.1061030907,GFM1
6458,GFM2,0.1513247621,GFM2
6460,GFOD2,0.1481903952,GFOD2
6462,GFPT2,0.5679257993,GFPT2
6468,GGA1,-0.2626730415,GGA1
6469,GGA3,0.094041876,GGA3
6470,GGACT,-0.756026963,GGACT
6471,GGCX,0.1682504912,GGCX
6472,GGH,0.1260603435,GGH
6476,GGPS1,-0.0043483895,GGPS1
6480,GGT7,-0.3124341438,GGT7
6488,GHITM,0.0998760083,GHITM
6489,GHR,0.2691873067,GHR
6495,GID8,0.1179561246,GID8
6497,GIGYF1,-0.080874876,GIGYF1
6507,GINS1,-0.7796883651,GINS1
6509,GINS3,-0.3187404951,GINS3
6510,GINS4,0.4622587423,GINS4
6512,GIPC1,-0.3849509227,GIPC1
6515,GIPR,-1.8211202716,GIPR
6516,GIT1,0.460758917,GIT1
6517,GIT2,-0.1500035795,GIT2
6518,GJA1,-0.2668737921,GJA1
6520,GJA3,-0.2121300623,GJA3
6532,GJD2,-4.921794311,GJD2
6539,GKAP1,0.1162443547,GKAP1
6542,GLA,0.4340660909,GLA
6550,GLE1,0.1754849682,GLE1
6551,GLG1,0.032399307,GLG1
6553,GLI2,-0.6609707311,GLI2
6556,GLIPR1,0.0265140578,GLIPR1
6561,GLIS2,0.0372468724,GLIS2
6564,GLMN,-0.376640939,GLMN
6565,GLO1,-0.1869732191,GLO1
6566,GLOD4,-0.2789532675,GLOD4
6574,GLRB,0.6221636698,GLRB
6575,GLRX,-0.0222965579,GLRX
6576,GLRX2,0.0420853815,GLRX2
6577,GLRX3,-0.1475376201,GLRX3
6578,GLRX5,0.0253328845,GLRX5
6579,GLS,0.297581092,GLS
6585,GLT8D1,-0.0587684846,GLT8D1
6587,GLTP,0.3509932134,GLTP
6593,GLUD1,0.1526867881,GLUD1
6603,GLYR1,0.2202277635,GLYR1
6605,GM2A,0.1118425685,GM2A
6606,GMCL1,0.0969603206,GMCL1
6610,GMEB2,-0.3125771133,GMEB2
6611,GMFB,-0.550290551,GMFB
6616,GMNN,-0.0993129169,GMNN
6617,GMPPA,-0.2268716174,GMPPA
6619,GMPR,-0.4366205839,GMPR
6621,GMPS,-0.1757902857,GMPS
6622,GNA11,0.2503607656,GNA11
6623,GNA12,-0.1155166636,GNA12
6627,GNAI1,0.4482012611,GNAI1
6628,GNAI2,-0.2598688797,GNAI2
6629,GNAL,0.6876371651,GNAL
6630,GNAO1,-0.6025593832,GNAO1
6631,GNAQ,0.1622297799,GNAQ
6632,GNAS,0.1249637147,GNAS
6637,GNAZ,0.2637949041,GNAZ
6638,GNB1,-0.1952180853,GNB1
6639,GNB2,0.0095305844,GNB2
6642,GNB4,-0.3284406739,GNB4
6643,GNB5,-0.1315423404,GNB5
6644,GNE,-0.2609799221,GNE
6646,GNG12,-0.1459591105,GNG12
6653,GNG7,-1.71450156,GNG7
6657,GNL1,0.488787259,GNL1
6658,GNL2,0.0569636503,GNL2
6659,GNL3,-0.1275130073,GNL3
6664,GNPAT,-0.3880044564,GNPAT
6666,GNPDA2,-0.2219451399,GNPDA2
6667,GNPNAT1,-0.5428506799,GNPNAT1
6669,GNPTG,0.2395427374,GNPTG
6675,GOLGA2,-0.4305379472,GOLGA2
6679,GOLGA5,0.194204606,GOLGA5
6690,GOLGA7,0.0161102539,GOLGA7
6696,GOLGB1,0.1484324224,GOLGB1
6699,GOLPH3,-0.0680236914,GOLPH3
6700,GOLPH3L,-1.1451701125,GOLPH3L
6702,GOLT1B,0.1714769321,GOLT1B
6704,GOPC,-0.0866917079,GOPC
6705,GORAB,-0.7396942698,GORAB
6707,GORASP2,-0.1634802088,GORASP2
6708,GOSR1,-0.0005599447,GOSR1
6709,GOSR2,-0.122446323,GOSR2
6712,GOT2,-0.2246785891,GOT2
6720,GPAM,-0.4528870362,GPAM
6723,GPATCH1,-0.4787924433,GPATCH1
6724,GPATCH11,-1.4256399189,GPATCH11
6726,GPATCH2L,0.1859228829,GPATCH2L
6727,GPATCH4,0.017258648,GPATCH4
6730,GPBP1,0.0298208562,GPBP1
6734,GPC3,0.0231492609,GPC3
6735,GPC4,0.3627824666,GPC4
6740,GPCPD1,0.2278687246,GPCPD1
6741,GPD1,-1.9539771107,GPD1
6743,GPD2,0.160287799,GPD2
6747,GPHN,0.2756383644,GPHN
6750,GPLD1,-0.5547505472,GPLD1
6754,GPN3,0.1271405973,GPN3
6755,GPNMB,0.1584121206,GPNMB
6756,GPR1,-3.2536889391,GPR1
6758,GPR107,-0.0801277421,GPR107
6759,GPR108,0.0134727147,GPR108
6777,GPR137B,0.3071344307,GPR137B
6784,GPR146,0.499076013,GPR146
6798,GPR162,-3.2200649873,GPR162
6801,GPR173,-3.4556959044,GPR173
6803,GPR176,0.38231265,GPR176
6806,GPR180,-2.2217353591,GPR180
6814,GPR27,0.5921168112,GPR27
6820,GPR37,-0.022998699,GPR37
6839,GPR85,1.1563709772,GPR85
6846,GPRASP1,-0.335868036,GPRASP1
6847,GPRC5B,-1.3940612679,GPRC5B
6855,GPS2,0.1874546241,GPS2
6856,GPSM1,-0.79151825,GPSM1
6859,GPX1,0.4239189334,GPX1
6862,GPX4,0.0521936188,GPX4
6865,GPX7,-0.2107407606,GPX7
6866,GPX8,-1.3559866954,GPX8
6869,GRAMD3,-0.7579045858,GRAMD3
6874,GRASP,-0.5070367344,GRASP
6875,GRB10,0.0983357178,GRB10
6877,GRB2,0.0400876998,GRB2
6878,GRB7,-0.5772058135,GRB7
6881,GREM1,0.9488787661,GREM1
6886,GRHPR,-0.0798454272,GRHPR
6889,GRIA3,-0.5395600688,GRIA3
6903,GRIN2A,-0.3944489523,GRIN2A
6909,GRINA,-0.0817562383,GRINA
6910,GRIP1,-0.4413929948,GRIP1
6911,GRIP2,2.2453648949,GRIP2
6912,GRIPAP1,-0.0480749554,GRIPAP1
6914,GRK5,-0.5599777504,GRK5
6915,GRK6,-0.2403182397,GRK6
6926,GRN,0.3258280864,GRN
6928,GRPEL1,0.347655222,GRPEL1
6931,GRSF1,-0.0117964682,GRSF1
6932,GRTP1,0.0709474114,GRTP1
6941,GSDMD,-0.6037285941,GSDMD
6945,GSK3B,-0.1048547806,GSK3B
6947,GSN,0.026017631,GSN
6949,GSPT2,-0.8258120651,GSPT2
6951,GSS,-0.1073987981,GSS
6955,GSTA4,-0.5710697395,GSTA4
6958,GSTCD,0.440443963,GSTCD
6959,GSTK1,-0.0624249854,GSTK1
6961,GSTM3,-0.0098968046,GSTM3
6962,GSTM4,-0.4032807159,GSTM4
6964,GSTO1,-0.0937936866,GSTO1
6965,GSTO2,-0.5223483588,GSTO2
6966,GSTP1,0.0793282408,GSTP1
6968,GSTT2,-0.4339056758,GSTT2
6974,GTDC1,-0.9458848572,GTDC1
6976,GTF2A1,0.1690977268,GTF2A1
6978,GTF2B,0.5839954664,GTF2B
6979,GTF2E1,-0.1732353378,GTF2E1
6980,GTF2E2,-0.0874719269,GTF2E2
6981,GTF2F1,0.0300023577,GTF2F1
6983,GTF2H1,0.0401472741,GTF2H1
6985,GTF2H3,-0.2737691164,GTF2H3
6987,GTF2H5,-0.5625284642,GTF2H5
6995,GTF3C1,0.0316307018,GTF3C1
6999,GTF3C5,0.0655185025,GTF3C5
7000,GTF3C6,-0.2754052305,GTF3C6
7002,GTPBP10,-0.5177855042,GTPBP10
7003,GTPBP2,-0.7970704542,GTPBP2
7004,GTPBP3,-0.5512189037,GTPBP3
7025,GUK1,0.085866112,GUK1
7026,GULP1,0.1760182388,GULP1
7027,GUSB,0.0796429217,GUSB
7043,GYPC,-0.3240399907,GYPC
7046,GZF1,0.364046627,GZF1
7052,H1F0,-0.0024447433,H1F0
7061,H2AFX,-0.3294185041,H2AFX
7062,H2AFY,0.0135061805,H2AFY
7063,H2AFY2,-0.1246714957,H2AFY2
7064,H2AFZ,0.0900521018,H2AFZ
7071,H6PD,-0.0752971013,H6PD
7073,HABP4,0.0235834569,HABP4
7074,HACE1,0.2349460236,HACE1
7075,HADH,-0.3243527465,HADH
7076,HADHA,0.0208028701,HADHA
7077,HADHB,-0.0148408081,HADHB
7078,HAGH,0.1784196059,HAGH
7082,HAND1,0.3999343047,HAND1
7083,HAND2,-0.2987913258,HAND2
7087,HAPLN1,0.0340836861,HAPLN1
7089,HAPLN3,1.1246242536,HAPLN3
7095,HAS2,-1.1043735666,HAS2
7098,HAT1,-0.0891486506,HAT1
7099,HAUS1,-0.1624764572,HAUS1
7103,HAUS8,0.37470563,HAUS8
7114,HBEGF,0.3285364505,HBEGF
7118,HBP1,0.2497780808,HBP1
7126,HCFC1R1,0.2924089704,HCFC1R1
7127,HCFC2,0.562460606,HCFC2
7141,HCN1,-0.6445340273,HCN1
7143,HCN3,0.8739968609,HCN3
7144,HCN4,0.7398841798,HCN4
7151,HDAC11,-0.0854293779,HDAC11
7152,HDAC2,0.0213659484,HDAC2
7153,HDAC3,-0.0725862178,HDAC3
7154,HDAC4,0.2748492608,HDAC4
7156,HDAC6,0.0696666666,HDAC6
7158,HDAC8,-0.7736860175,HDAC8
7161,HDDC2,-0.6088689828,HDDC2
7162,HDDC3,-0.4312580677,HDDC3
7163,HDGF,-0.3438949522,HDGF
7170,HDLBP,-0.0872380753,HDLBP
7177,HEATR6,#VALUE!,HEATR6
7178,HEBP1,0.1506559742,HEBP1
7179,HEBP2,-0.2063120546,HEBP2
7180,HECA,0.3938663449,HECA
7182,HECTD2,0.3678733164,HECTD2
7186,HECW2,-1.2336889495,HECW2
7193,HELZ,0.3226709843,HELZ
7196,HEMK1,-1.530956365,HEMK1
7200,HEPH,-0.1266127813,HEPH
7204,HERC2,-0.5270847277,HERC2
7211,HERC3,0.2793118372,HERC3
7212,HERC4,0.1222627423,HERC4
7215,HERPUD1,-0.5433695468,HERPUD1
7216,HERPUD2,0.2010813991,HERPUD2
7217,HES1,-0.0182489759,HES1
7222,HES6,1.1318900602,HES6
7225,HEXA,0.1144666854,HEXA
7227,HEXB,0.1942021605,HEXB
7229,HEXIM1,0.6606639736,HEXIM1
7230,HEXIM2,0.6020026874,HEXIM2
7231,HEY1,0.7831990966,HEY1
7232,HEY2,-0.5703420285,HEY2
7235,HFE2,-2.9089714279,HFE2
7242,HHATL,-1.1843097258,HHATL
7255,HIBCH,0.2361553366,HIBCH
7257,HIC2,0.5744815023,HIC2
7259,HIF1A,-0.2171007014,HIF1A
7262,HIF3A,-2.9692673091,HIF3A
7263,HIGD1A,-0.1224856075,HIGD1A
7266,HIGD2A,-0.0978235204,HIGD2A
7272,HINT2,-0.0938130061,HINT2
7273,HINT3,-0.5169705819,HINT3
7275,HIP1R,0.4919365846,HIP1R
7276,HIPK1,0.0942166457,HIPK1
7277,HIPK2,-0.136471755,HIPK2
7278,HIPK3,0.1240312387,HIPK3
7281,HIRIP3,0.2367414496,HIRIP3
7344,HIVEP1,0.1825491965,HIVEP1
7346,HIVEP3,0.2360628241,HIVEP3
7381,HLTF,-0.8337796,HLTF
7387,HMBS,-0.5102975064,HMBS
7389,HMG20A,-0.0487461778,HMG20A
7390,HMG20B,-0.2018012087,HMG20B
7391,HMGA1,0.0080141702,HMGA1
7393,HMGA2,-0.1804648772,HMGA2
7399,HMGCL,0.308214579,HMGCL
7401,HMGCR,0.0576397003,HMGCR
7405,HMGN2,0.0037169044,HMGN2
7407,HMGN3,-0.177564154,HMGN3
7411,HMGXB4,-0.4603443524,HMGXB4
7414,HMMR,-0.3273790571,HMMR
7415,HMOX1,0.0966153707,HMOX1
7416,HMOX2,0.1397146834,HMOX2
7422,HN1,0.1781335641,HN1
7429,HNMT,-0.8921604294,HNMT
7432,HNRNPA2B1,-0.3035152778,HNRNPA2B1
7434,HNRNPAB,0.1496085214,HNRNPAB
7436,HNRNPF,0.1142485188,HNRNPF
7437,HNRNPH1,-0.368106282,HNRNPH1
7441,HNRNPL,-0.0290492399,HNRNPL
7442,HNRNPR,-0.4292744474,HNRNPR
7443,HNRNPU,-0.0064047876,HNRNPU
7445,HNRNPUL1,-0.0771345519,HNRNPUL1
7447,HOGA1,-2.3063012664,HOGA1
7449,HOMER2,-0.3701216971,HOMER2
7451,HOMEZ,0.4206192397,HOMEZ
7452,HOOK1,-0.5823256601,HOOK1
7455,HOPX,-0.4459690216,HOPX
7477,HOXB4,-0.1306867725,HOXB4
