,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Cleaned Gene Symbols
15886,ILMN_1355285,0.21899999999999997,0.154,-1.493039,-6.975535000000001,-0.05576522,A4galt,"alpha 1,4-galactosyltransferase",A4GALT
20092,ILMN_1368325,0.68,0.607,0.524691,-7.938553999999999,0.03929059,Aaas,aladin WD repeat nucleoporin,AAAS
8771,ILMN_1353563,0.0012900000000000001,0.000504,4.314875,-1.488425,0.30400345,Aacs,acetoacetyl-CoA synthetase,AACS
22345,ILMN_1369433,0.975,0.9670000000000001,0.041878,-8.082301,0.00171835,Aadat,aminoadipate aminotransferase,AADAT
5940,ILMN_1365755,9.52e-06,2.51e-06,-7.01382,3.965519,-0.35658081,Aagab,alpha- and gamma-adaptin binding protein,AAGAB
9048,ILMN_1364196,0.00187,0.00075,4.127386,-1.890555,0.58204968,Aamdc,"adipogenesis associated, Mth938 domain containing",AAMDC
8297,ILMN_1349007,0.0006320000000000001,0.000233,-4.6822029999999994,-0.7044,-0.62461863,Aamp,"angio-associated, migratory cell protein",AAMP
15665,ILMN_1373367,0.19899999999999998,0.139,1.556418,-6.885819000000001,0.33570855,Aar2,AAR2 splicing factor homolog,AAR2
15830,ILMN_1362563,0.212,0.149,-1.512987,-6.9476,-0.06648389,Aars2,"alanyl-tRNA synthetase 2, mitochondrial",AARS2
7987,ILMN_1355815,0.000386,0.00013700000000000002,4.938903,-0.161494,0.81518303,Aasdhppt,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,AASDHPPT
20304,ILMN_1373215,0.7070000000000001,0.637,-0.480199,-7.961887,-0.01814521,Aass,aminoadipate-semialdehyde synthase,AASS
22012,ILMN_1352233,0.932,0.9109999999999999,-0.11344000000000001,-8.076414,-0.0048460000000000005,Abat,4-aminobutyrate aminotransferase,ABAT
15811,ILMN_1650701,0.21100000000000002,0.14800000000000002,-1.5171649999999999,-6.941714,-0.11997054,Abca1,ATP binding cassette subfamily A member 1,ABCA1
834,ILMN_1350564,5.89e-12,2.1899999999999998e-13,-21.240976999999997,20.895491,-1.26680326,Abca2,ATP binding cassette subfamily A member 2,ABCA2
14678,ILMN_1368155,0.135,0.0883,1.8120060000000002,-6.497048,0.14428943,Abca5,ATP binding cassette subfamily A member 5,ABCA5
14459,ILMN_1368329,0.122,0.0786,-1.8754389999999999,-6.394355,-0.0878681,Abca7,ATP binding cassette subfamily A member 7,ABCA7
5286,ILMN_1376292,2.15e-06,5.05e-07,-7.942503,5.632905,-0.54083414,Abcb10,ATP binding cassette subfamily B member 10,ABCB10
5402,ILMN_1370214,2.69e-06,6.440000000000001e-07,-7.797445,5.379955000000001,-0.46168043,Abcb4,ATP binding cassette subfamily B member 4,ABCB4
1689,ILMN_1355792,1.3899999999999999e-10,1.0400000000000001e-11,-16.619509,16.892453,-2.2485748,Abcb6,"ATP-binding cassette, subfamily B (MDR/TAP), member 6",ABCB6
3481,ILMN_1366035,2.06e-08,3.19e-09,-11.399541000000001,10.922267,-0.52778955,Abcb8,ATP binding cassette subfamily B member 8,ABCB8
1960,ILMN_1351742,3.21e-10,2.79e-11,-15.596639000000001,15.866567000000002,-1.85409987,Abcb9,ATP binding cassette subfamily B member 9,ABCB9
18706,ILMN_1363447,0.511,0.425,-0.818393,-7.735358,-0.03929932,Abcc1,ATP binding cassette subfamily C member 1,ABCC1
3324,ILMN_1650413,1.3600000000000001e-08,2e-09,11.762589,11.405286,1.17160885,Abcc10,ATP binding cassette subfamily C member 10,ABCC10
2434,ILMN_1349461,1.27e-09,1.37e-10,-14.059957999999998,14.205832000000001,-0.7063986999999999,Abcc5,ATP binding cassette subfamily C member 5,ABCC5
19509,ILMN_1361474,0.613,0.531,0.639514,-7.869161999999999,0.03278591,Abcc6,ATP binding cassette subfamily C member 6,ABCC6
1642,ILMN_1368143,1.27e-10,9.25e-12,-16.747392,17.016631,-2.82948148,Abcc9,ATP binding cassette subfamily C member 9,ABCC9
9593,ILMN_1367993,0.0036200000000000004,0.0015400000000000001,-3.78968,-2.615166,-0.21641894,Abcd2,ATP binding cassette subfamily D member 2,ABCD2
5354,ILMN_1357729,2.46e-06,5.85e-07,-7.854908,5.480485,-0.99998181,Abcd3,ATP binding cassette subfamily D member 3,ABCD3
5900,ILMN_1368255,8.76e-06,2.3e-06,-7.063977,4.058498999999999,-0.44947447,Abce1,ATP binding cassette subfamily E member 1,ABCE1
1873,ILMN_1374147,2.4899999999999997e-10,2.0699999999999997e-11,-15.899648000000001,16.176691,-1.652984,Abcf2,ATP binding cassette subfamily F member 2,ABCF2
406,ILMN_1376754,6.74e-13,1.22e-14,-25.448017999999998,23.859953,-2.72243727,Abcf3,ATP binding cassette subfamily F member 3,ABCF3
4527,ILMN_1354046,3.34e-07,6.71e-08,-9.215405,7.738614999999999,-1.5863142,Abcg1,ATP binding cassette subfamily G member 1,ABCG1
13706,ILMN_1367911,0.0846,0.0515,-2.099899,-6.013369,-0.41647338,Abcg4,ATP binding cassette subfamily G member 4,ABCG4
7285,ILMN_1650975,0.000125,4.05e-05,5.541513,1.089646,0.19760762,Abhd11,abhydrolase domain containing 11,ABHD11
3193,ILMN_1361386,9.46e-09,1.3400000000000001e-09,-12.086161,11.825804,-0.91554114,Abhd14a,abhydrolase domain containing 14A,ABHD14A
96,ILMN_1350748,3.97e-14,1.73e-16,-33.122364000000005,28.156759,-2.70916699,Abhd14b,abhydrolase domain containing 14b,ABHD14B
15758,ILMN_1364237,0.207,0.145,1.531088,-6.92201,0.11069708,Abhd15,abhydrolase domain containing 15,ABHD15
7035,ILMN_1355291,8.01e-05,2.5e-05,-5.785291,1.584653,-1.60172234,Abhd16a,abhydrolase domain containing 16A,ABHD16A
631,ILMN_1352036,2.2200000000000002e-12,6.22e-14,-22.985895000000003,22.190613,-1.78378381,Abhd17a,abhydrolase domain containing 17A,ABHD17A
3587,ILMN_1355677,2.77e-08,4.42e-09,-11.148272,10.580786,-1.18307063,Abhd17b,abhydrolase domain containing 17B,ABHD17B
5779,ILMN_1370298,6.7e-06,1.72e-06,-7.227180000000001,4.358716,-0.61127652,Abhd18,abhydrolase domain containing 18,ABHD18
10393,ILMN_1354232,0.00818,0.0037799999999999995,3.370101,-3.508622,0.24370263,Abhd2,abhydrolase domain containing 2,ABHD2
7128,ILMN_1364145,9.559999999999999e-05,3.0299999999999998e-05,-5.688491,1.3889280000000002,-0.5385816,Abhd3,abhydrolase domain containing 3,ABHD3
148,ILMN_1365062,7.28e-14,4.82e-16,-31.092871999999996,27.132058,-3.12764337,Abhd4,abhydrolase domain containing 4,ABHD4
10233,ILMN_1369252,0.0069299999999999995,0.00315,-3.4548989999999997,-3.3292040000000003,-0.21981854,Abhd5,abhydrolase domain containing 5,ABHD5
4481,ILMN_1364746,2.9899999999999996e-07,5.96e-08,-9.294433999999999,7.862863000000001,-0.75935391,Abhd6,abhydrolase domain containing 6,ABHD6
2636,ILMN_1355841,2.1100000000000004e-09,2.47e-10,-13.528765,13.594644,-1.00093308,Abhd8,abhydrolase domain containing 8,ABHD8
22452,ILMN_1376905,0.99,0.987,-0.016315,-8.083089,-0.00256599,Abi1,abl-interactor 1,ABI1
11247,ILMN_1351581,0.017,0.00847,2.989637,-4.3016190000000005,0.17226252,Abl2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",ABL2
3134,ILMN_1376340,8.050000000000001e-09,1.1199999999999999e-09,-12.233588000000001,12.014375,-0.7610789000000001,Ablim2,"actin binding LIM protein family, member 2",ABLIM2
1729,ILMN_1355402,1.6000000000000002e-10,1.23e-11,-16.44689,16.723437,-2.50809487,Abr,active BCR-related,ABR
3703,ILMN_1349223,4.0099999999999995e-08,6.590000000000001e-09,-10.846473,10.162611,-2.80108492,Abra,actin-binding Rho activating protein,ABRA
1810,ILMN_1372272,2.0899999999999998e-10,1.68e-11,-16.118130999999998,16.397001,-1.45864775,Abt1,activator of basal transcription 1,ABT1
17214,ILMN_1368232,0.342,0.261,-1.1633950000000002,-7.394019999999999,-0.15560714,Abtb1,ankyrin repeat and BTB domain containing 1,ABTB1
3194,ILMN_1357600,9.470000000000001e-09,1.3400000000000001e-09,-12.084901,11.824183999999999,-1.7599330000000002,Acaa2,acetyl-CoA acyltransferase 2,ACAA2
279,ILMN_1367683,2.7800000000000003e-13,3.4600000000000002e-15,-27.518002000000003,25.140614000000003,-2.49152386,Acad10,"acyl-CoA dehydrogenase family, member 10",ACAD10
3250,ILMN_1367718,1.1100000000000002e-08,1.61e-09,-11.940057000000001,11.637067,-1.34616016,Acad9,"acyl-CoA dehydrogenase family, member 9",ACAD9
395,ILMN_1362897,6.33e-13,1.11e-14,-25.592639000000002,23.95285,-3.48839901,Acadm,"acyl-CoA dehydrogenase, C-4 to C-12 straight chain",ACADM
1001,ILMN_1351346,1.2900000000000002e-11,5.720000000000001e-13,-19.992298,19.902931,-2.67650757,Acads,"acyl-CoA dehydrogenase, C-2 to C-3 short chain",ACADS
18809,ILMN_1375035,0.525,0.43799999999999994,0.794728,-7.754816,0.10461367,Acadsb,"acyl-CoA dehydrogenase, short/branched chain",ACADSB
992,ILMN_1356482,1.2099999999999999e-11,5.320000000000001e-13,-20.084175,19.977985999999998,-2.45584898,Acadvl,"acyl-CoA dehydrogenase, very long chain",ACADVL
17973,ILMN_1349431,0.424,0.33799999999999997,-0.9868959999999999,-7.581836999999999,-0.04136415,Acap3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",ACAP3
1335,ILMN_1373473,4.5299999999999995e-11,2.6899999999999996e-12,-18.12376,18.300187,-2.84722542,Acat1,acetyl-CoA acetyltransferase 1,ACAT1
6420,ILMN_1361128,2.6300000000000002e-05,7.49e-06,-6.415927,2.831355,-0.58848983,Acat2,acetyl-CoA acetyltransferase 2,ACAT2
2251,ILMN_1373125,7.6e-10,7.6e-11,-14.614137,14.822451000000001,-2.15797849,Acbd3,acyl-CoA binding domain containing 3,ACBD3
6903,ILMN_1530330,6.48e-05,1.99e-05,5.904243,1.823627,0.39936388,Acbd4,acyl-CoA binding domain containing 4,ACBD4
5389,ILMN_1376438,2.62e-06,6.26e-07,-7.814364,5.409597,-1.08270923,Acbd6,acyl-CoA binding domain containing 6,ACBD6
6830,ILMN_1367485,5.720000000000001e-05,1.74e-05,-5.9735190000000005,1.9620009999999999,-0.35966376,Acd,adrenocortical dysplasia homolog,ACD
6192,ILMN_1364753,1.63e-05,4.49e-06,-6.692488000000001,3.361874,-1.27099288,Acer2,alkaline ceramidase 2,ACER2
910,ILMN_1360143,8.26e-12,3.34e-13,-20.681687,20.458135000000002,-0.92430344,Acin1,apoptotic chromatin condensation inducer 1,ACIN1
7246,ILMN_1361010,0.000117,3.75e-05,5.579789,1.167824,0.91295425,Ackr3,atypical chemokine receptor 3,ACKR3
3962,ILMN_1366910,7.9e-08,1.3899999999999999e-08,-10.300699,9.383245,-1.08564343,Acly,ATP citrate lyase,ACLY
4940,ILMN_1376951,9.58e-07,2.1e-07,-8.480294,6.547099,-0.94141434,Aco1,aconitase 1,ACO1
744,ILMN_1352530,4.04e-12,1.34e-13,-21.909728,21.403866,-3.48958121,Aco2,aconitase 2,ACO2
5871,ILMN_1353833,8.28e-06,2.16e-06,-7.098253,4.1218449999999995,-0.73219859,Acot1,acyl-CoA thioesterase 1,ACOT1
1302,ILMN_1350154,4.0899999999999996e-11,2.37e-12,-18.27064,18.431732999999998,-2.52479438,Acot13,acyl-CoA thioesterase 13,ACOT13
17861,ILMN_1374066,0.413,0.327,1.009684,-7.559106,0.13832446,Acot2,acyl-CoA thioesterase 2,ACOT2
1023,ILMN_1366923,1.4e-11,6.37e-13,-19.857931,19.792564000000002,-1.47213086,Acot7,acyl-CoA thioesterase 7,ACOT7
6274,ILMN_1370864,1.9699999999999998e-05,5.48e-06,-6.583917,3.15481,-0.59911853,Acot8,acyl-CoA thioesterase 8,ACOT8
