GO_Term_Id	GO_Term	pvalue	BH_pvalue	GO_Term_Gene_Total	Gene_Count_GO_Term	Gene_Ids
GO:0006520	cellular amino acid metabolic process	1.23037058189386e-11	2.48399516778552e-07	433	17	ENSG00000116761, ENSG00000031698, ENSG00000092621, ENSG00000065911, ENSG00000106105, ENSG00000070669, ENSG00000135069, ENSG00000110619, ENSG00000182199, ENSG00000136010, ENSG00000081181, ENSG00000140105, ENSG00000166123, ENSG00000183010, ENSG00000160200, ENSG00000100033, ENSG00000128272
GO:0008652	cellular amino acid biosynthetic process	2.23172795007379e-10	1.62579767956388e-06	83	9	ENSG00000116761, ENSG00000092621, ENSG00000065911, ENSG00000070669, ENSG00000135069, ENSG00000182199, ENSG00000166123, ENSG00000183010, ENSG00000160200
GO:0019752	carboxylic acid metabolic process	2.41586658016328e-10	1.62579767956388e-06	1017	23	ENSG00000130766, ENSG00000116761, ENSG00000031698, ENSG00000092621, ENSG00000065911, ENSG00000138413, ENSG00000164181, ENSG00000106105, ENSG00000070669, ENSG00000135069, ENSG00000099194, ENSG00000110619, ENSG00000182199, ENSG00000136010, ENSG00000081181, ENSG00000140105, ENSG00000166123, ENSG00000141510, ENSG00000183010, ENSG00000101255, ENSG00000160200, ENSG00000100033, ENSG00000128272
GO:1901607	alpha-amino acid biosynthetic process	2.45983209610978e-09	1.11688968229247e-05	74	8	ENSG00000116761, ENSG00000092621, ENSG00000065911, ENSG00000070669, ENSG00000135069, ENSG00000182199, ENSG00000183010, ENSG00000160200
GO:0043436	oxoacid metabolic process	2.84710808808504e-09	1.11688968229247e-05	1140	23	ENSG00000130766, ENSG00000116761, ENSG00000031698, ENSG00000092621, ENSG00000065911, ENSG00000138413, ENSG00000164181, ENSG00000106105, ENSG00000070669, ENSG00000135069, ENSG00000099194, ENSG00000110619, ENSG00000182199, ENSG00000136010, ENSG00000081181, ENSG00000140105, ENSG00000166123, ENSG00000141510, ENSG00000183010, ENSG00000101255, ENSG00000160200, ENSG00000100033, ENSG00000128272
GO:1901605	alpha-amino acid metabolic process	3.81742176095437e-09	1.11688968229247e-05	257	12	ENSG00000116761, ENSG00000092621, ENSG00000065911, ENSG00000070669, ENSG00000135069, ENSG00000182199, ENSG00000136010, ENSG00000081181, ENSG00000166123, ENSG00000183010, ENSG00000160200, ENSG00000100033
GO:0006082	organic acid metabolic process	3.87251858737298e-09	1.11688968229247e-05	1158	23	ENSG00000130766, ENSG00000116761, ENSG00000031698, ENSG00000092621, ENSG00000065911, ENSG00000138413, ENSG00000164181, ENSG00000106105, ENSG00000070669, ENSG00000135069, ENSG00000099194, ENSG00000110619, ENSG00000182199, ENSG00000136010, ENSG00000081181, ENSG00000140105, ENSG00000166123, ENSG00000141510, ENSG00000183010, ENSG00000101255, ENSG00000160200, ENSG00000100033, ENSG00000128272
GO:0009070	serine family amino acid biosynthetic process	8.69541695477681e-09	2.19439716124986e-05	15	5	ENSG00000116761, ENSG00000092621, ENSG00000135069, ENSG00000182199, ENSG00000160200
GO:0016053	organic acid biosynthetic process	2.14952464344185e-08	4.33967530264475e-05	299	12	ENSG00000116761, ENSG00000092621, ENSG00000065911, ENSG00000164181, ENSG00000070669, ENSG00000135069, ENSG00000099194, ENSG00000182199, ENSG00000166123, ENSG00000183010, ENSG00000101255, ENSG00000160200
GO:0046394	carboxylic acid biosynthetic process	2.14952464344185e-08	4.33967530264475e-05	299	12	ENSG00000116761, ENSG00000092621, ENSG00000065911, ENSG00000164181, ENSG00000070669, ENSG00000135069, ENSG00000099194, ENSG00000182199, ENSG00000166123, ENSG00000183010, ENSG00000101255, ENSG00000160200
GO:0070059	intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	4.78168721745329e-08	8.77613483937859e-05	69	7	ENSG00000175197, ENSG00000128965, ENSG00000051108, ENSG00000105327, ENSG00000101255, ENSG00000172216, ENSG00000128272
GO:0044283	small molecule biosynthetic process	5.62971575388554e-08	9.47152761293293e-05	549	15	ENSG00000130766, ENSG00000116761, ENSG00000092621, ENSG00000065911, ENSG00000164181, ENSG00000070669, ENSG00000135069, ENSG00000099194, ENSG00000182199, ENSG00000100889, ENSG00000166123, ENSG00000183010, ENSG00000101255, ENSG00000160200, ENSG00000128272
GO:0006563	L-serine metabolic process	6.30177396994774e-08	9.78665497532884e-05	9	4	ENSG00000092621, ENSG00000135069, ENSG00000182199, ENSG00000160200
GO:0097193	intrinsic apoptotic signaling pathway	2.66187944978343e-07	0.000383862030083411	310	11	ENSG00000105928, ENSG00000175197, ENSG00000128965, ENSG00000051108, ENSG00000141510, ENSG00000105327, ENSG00000101255, ENSG00000172216, ENSG00000100292, ENSG00000100033, ENSG00000128272
GO:0006564	L-serine biosynthetic process	3.6023141198347e-07	0.000484847465102285	4	3	ENSG00000092621, ENSG00000135069, ENSG00000182199
GO:1990440	positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress	8.97528848055071e-07	0.00113251311958649	15	4	ENSG00000175197, ENSG00000141510, ENSG00000172216, ENSG00000128272
GO:0034976	response to endoplasmic reticulum stress	1.00929255862263e-06	0.00119862396859013	279	10	ENSG00000116761, ENSG00000070669, ENSG00000175197, ENSG00000128965, ENSG00000051108, ENSG00000141510, ENSG00000105327, ENSG00000101255, ENSG00000172216, ENSG00000128272
GO:0009069	serine family amino acid metabolic process	1.14739316481329e-06	0.00128692892246752	38	5	ENSG00000116761, ENSG00000092621, ENSG00000135069, ENSG00000182199, ENSG00000160200
GO:0036499	PERK-mediated unfolded protein response	1.71093479223371e-06	0.0018180032905477	19	4	ENSG00000070669, ENSG00000175197, ENSG00000051108, ENSG00000128272
GO:0015171	amino acid transmembrane transporter activity	2.55989401658054e-06	0.00258408501503723	73	6	ENSG00000151012, ENSG00000149150, ENSG00000168003, ENSG00000139514, ENSG00000139974, ENSG00000105281
GO:0006984	ER-nucleus signaling pathway	2.75104195339466e-06	0.00264479933319451	44	5	ENSG00000070669, ENSG00000175197, ENSG00000051108, ENSG00000141510, ENSG00000128272
GO:0030170	pyridoxal phosphate binding	5.280476362502e-06	0.00484579714920695	52	5	ENSG00000116761, ENSG00000182199, ENSG00000166123, ENSG00000075643, ENSG00000160200
GO:0048037	cofactor binding	5.52843391370914e-06	0.00485276314277712	263	9	ENSG00000116761, ENSG00000092621, ENSG00000138413, ENSG00000070669, ENSG00000182199, ENSG00000166123, ENSG00000075643, ENSG00000160200, ENSG00000100033
GO:0016645	oxidoreductase activity, acting on the CH-NH group of donors	6.68856348000906e-06	0.00562647533741262	26	4	ENSG00000065911, ENSG00000136010, ENSG00000183010, ENSG00000100033
GO:0036003	positive regulation of transcription from RNA polymerase II promoter in response to stress	7.46758252129944e-06	0.00603052094090057	25	4	ENSG00000175197, ENSG00000141510, ENSG00000172216, ENSG00000128272
GO:0097190	apoptotic signaling pathway	1.22491243473827e-05	0.00951144505574267	645	13	ENSG00000116761, ENSG00000105928, ENSG00000175197, ENSG00000128965, ENSG00000051108, ENSG00000064300, ENSG00000141510, ENSG00000105327, ENSG00000101255, ENSG00000172216, ENSG00000100292, ENSG00000100033, ENSG00000128272
GO:0006979	response to oxidative stress	1.33202929444919e-05	0.00996012571319801	385	10	ENSG00000130766, ENSG00000138413, ENSG00000151012, ENSG00000175567, ENSG00000064300, ENSG00000141510, ENSG00000183010, ENSG00000100292, ENSG00000100033, ENSG00000128272
GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress	1.43958095860149e-05	0.0103798928475734	62	5	ENSG00000175197, ENSG00000141510, ENSG00000172216, ENSG00000100292, ENSG00000128272
GO:1990617	CHOP-ATF4 complex	1.58888421691263e-05	0.0110613736052583	2	2	ENSG00000175197, ENSG00000128272
