GO_Term_Id	GO_Term	pvalue	BH_pvalue	GO_Term_Gene_Total	Gene_Count_GO_Term	Gene_Ids
GO:0008610	lipid biosynthetic process	3.49504306771231e-12	7.05614244940438e-08	631	54	ENSG00000116133, ENSG00000160752, ENSG00000132196, ENSG00000163082, ENSG00000134324, ENSG00000135929, ENSG00000163719, ENSG00000163590, ENSG00000121879, ENSG00000206527, ENSG00000188313, ENSG00000151726, ENSG00000163624, ENSG00000198189, ENSG00000052802, ENSG00000112972, ENSG00000019582, ENSG00000170271, ENSG00000001630, ENSG00000197461, ENSG00000004799, ENSG00000186480, ENSG00000079459, ENSG00000107242, ENSG00000147383, ENSG00000196139, ENSG00000166224, ENSG00000156671, ENSG00000171862, ENSG00000067064, ENSG00000119927, ENSG00000177666, ENSG00000025434, ENSG00000149485, ENSG00000172893, ENSG00000110958, ENSG00000110921, ENSG00000133935, ENSG00000033011, ENSG00000167508, ENSG00000133027, ENSG00000070731, ENSG00000132376, ENSG00000131473, ENSG00000169710, ENSG00000090661, ENSG00000130164, ENSG00000099797, ENSG00000130304, ENSG00000105499, ENSG00000172296, ENSG00000131069, ENSG00000160285, ENSG00000100031
GO:0016126	sterol biosynthetic process	2.24640229377046e-11	2.26763079544659e-07	54	15	ENSG00000116133, ENSG00000160752, ENSG00000132196, ENSG00000052802, ENSG00000112972, ENSG00000001630, ENSG00000186480, ENSG00000079459, ENSG00000147383, ENSG00000067064, ENSG00000172893, ENSG00000110921, ENSG00000133935, ENSG00000167508, ENSG00000160285
GO:0006629	lipid metabolic process	3.56443351844715e-11	2.39874494346432e-07	1323	84	ENSG00000116678, ENSG00000130768, ENSG00000116133, ENSG00000160752, ENSG00000132196, ENSG00000123689, ENSG00000115896, ENSG00000163082, ENSG00000134324, ENSG00000135929, ENSG00000163719, ENSG00000144645, ENSG00000163590, ENSG00000121879, ENSG00000174738, ENSG00000206527, ENSG00000188313, ENSG00000145335, ENSG00000151726, ENSG00000163624, ENSG00000198189, ENSG00000052802, ENSG00000112972, ENSG00000019582, ENSG00000170271, ENSG00000112033, ENSG00000065833, ENSG00000120437, ENSG00000001630, ENSG00000197461, ENSG00000004799, ENSG00000186480, ENSG00000079459, ENSG00000107242, ENSG00000130653, ENSG00000170835, ENSG00000102043, ENSG00000169057, ENSG00000147383, ENSG00000187134, ENSG00000196139, ENSG00000166224, ENSG00000156671, ENSG00000171862, ENSG00000067064, ENSG00000151632, ENSG00000119927, ENSG00000177666, ENSG00000025434, ENSG00000149485, ENSG00000172893, ENSG00000198431, ENSG00000110958, ENSG00000110921, ENSG00000185950, ENSG00000100439, ENSG00000126775, ENSG00000133935, ENSG00000140463, ENSG00000140577, ENSG00000005339, ENSG00000033011, ENSG00000102882, ENSG00000167508, ENSG00000133027, ENSG00000070731, ENSG00000132376, ENSG00000131473, ENSG00000161533, ENSG00000169710, ENSG00000141401, ENSG00000090661, ENSG00000130164, ENSG00000099797, ENSG00000130304, ENSG00000105699, ENSG00000105499, ENSG00000172296, ENSG00000131069, ENSG00000160285, ENSG00000100031, ENSG00000100100, ENSG00000198911, ENSG00000186951
GO:0006695	cholesterol biosynthetic process	8.16799398380386e-11	3.29807261078032e-07	49	14	ENSG00000116133, ENSG00000160752, ENSG00000132196, ENSG00000052802, ENSG00000112972, ENSG00000001630, ENSG00000186480, ENSG00000079459, ENSG00000147383, ENSG00000067064, ENSG00000172893, ENSG00000110921, ENSG00000167508, ENSG00000160285
GO:1902653	secondary alcohol biosynthetic process	8.16799398380386e-11	3.29807261078032e-07	49	14	ENSG00000116133, ENSG00000160752, ENSG00000132196, ENSG00000052802, ENSG00000112972, ENSG00000001630, ENSG00000186480, ENSG00000079459, ENSG00000147383, ENSG00000067064, ENSG00000172893, ENSG00000110921, ENSG00000167508, ENSG00000160285
GO:0046165	alcohol biosynthetic process	1.62216740186427e-10	5.45832294603961e-07	166	24	ENSG00000116133, ENSG00000160752, ENSG00000132196, ENSG00000134324, ENSG00000135929, ENSG00000145335, ENSG00000163624, ENSG00000052802, ENSG00000112972, ENSG00000001630, ENSG00000186480, ENSG00000079459, ENSG00000147383, ENSG00000196139, ENSG00000156671, ENSG00000067064, ENSG00000172893, ENSG00000110921, ENSG00000133935, ENSG00000167508, ENSG00000133027, ENSG00000141401, ENSG00000130304, ENSG00000160285
GO:0008203	cholesterol metabolic process	1.07077474089734e-09	3.08826732056805e-06	122	20	ENSG00000116678, ENSG00000116133, ENSG00000160752, ENSG00000132196, ENSG00000135929, ENSG00000052802, ENSG00000112972, ENSG00000112033, ENSG00000001630, ENSG00000186480, ENSG00000079459, ENSG00000170835, ENSG00000147383, ENSG00000067064, ENSG00000172893, ENSG00000110921, ENSG00000167508, ENSG00000130164, ENSG00000160285, ENSG00000198911
GO:0016125	sterol metabolic process	1.31428941984789e-09	3.31677363716363e-06	138	21	ENSG00000116678, ENSG00000116133, ENSG00000160752, ENSG00000132196, ENSG00000135929, ENSG00000052802, ENSG00000112972, ENSG00000112033, ENSG00000001630, ENSG00000186480, ENSG00000079459, ENSG00000170835, ENSG00000147383, ENSG00000067064, ENSG00000172893, ENSG00000110921, ENSG00000133935, ENSG00000167508, ENSG00000130164, ENSG00000160285, ENSG00000198911
GO:1902652	secondary alcohol metabolic process	1.65744886512691e-09	3.71802612644968e-06	125	20	ENSG00000116678, ENSG00000116133, ENSG00000160752, ENSG00000132196, ENSG00000135929, ENSG00000052802, ENSG00000112972, ENSG00000112033, ENSG00000001630, ENSG00000186480, ENSG00000079459, ENSG00000170835, ENSG00000147383, ENSG00000067064, ENSG00000172893, ENSG00000110921, ENSG00000167508, ENSG00000130164, ENSG00000160285, ENSG00000198911
GO:0044255	cellular lipid metabolic process	1.10702234642158e-08	2.23496741519053e-05	1002	64	ENSG00000130768, ENSG00000160752, ENSG00000123689, ENSG00000163082, ENSG00000134324, ENSG00000163719, ENSG00000163590, ENSG00000121879, ENSG00000206527, ENSG00000188313, ENSG00000145335, ENSG00000151726, ENSG00000163624, ENSG00000052802, ENSG00000112972, ENSG00000019582, ENSG00000170271, ENSG00000112033, ENSG00000065833, ENSG00000197461, ENSG00000004799, ENSG00000186480, ENSG00000079459, ENSG00000107242, ENSG00000170835, ENSG00000102043, ENSG00000169057, ENSG00000187134, ENSG00000196139, ENSG00000166224, ENSG00000156671, ENSG00000171862, ENSG00000067064, ENSG00000151632, ENSG00000119927, ENSG00000177666, ENSG00000025434, ENSG00000149485, ENSG00000198431, ENSG00000110958, ENSG00000110921, ENSG00000185950, ENSG00000126775, ENSG00000005339, ENSG00000033011, ENSG00000102882, ENSG00000167508, ENSG00000133027, ENSG00000070731, ENSG00000132376, ENSG00000131473, ENSG00000161533, ENSG00000169710, ENSG00000141401, ENSG00000090661, ENSG00000130164, ENSG00000099797, ENSG00000130304, ENSG00000105499, ENSG00000172296, ENSG00000131069, ENSG00000100031, ENSG00000100100, ENSG00000186951
GO:0006066	alcohol metabolic process	1.47024303985104e-08	2.69843061195932e-05	405	36	ENSG00000116678, ENSG00000130768, ENSG00000116133, ENSG00000160752, ENSG00000132196, ENSG00000163082, ENSG00000134324, ENSG00000135929, ENSG00000145335, ENSG00000163624, ENSG00000052802, ENSG00000112972, ENSG00000112033, ENSG00000001630, ENSG00000186480, ENSG00000079459, ENSG00000170835, ENSG00000169057, ENSG00000147383, ENSG00000196139, ENSG00000156671, ENSG00000171862, ENSG00000067064, ENSG00000172893, ENSG00000110921, ENSG00000133935, ENSG00000167508, ENSG00000133027, ENSG00000132376, ENSG00000141401, ENSG00000130164, ENSG00000130304, ENSG00000105499, ENSG00000131069, ENSG00000160285, ENSG00000198911
GO:0044283	small molecule biosynthetic process	5.237797399334e-08	8.81215764126284e-05	549	41	ENSG00000116678, ENSG00000116133, ENSG00000160752, ENSG00000132196, ENSG00000135821, ENSG00000134324, ENSG00000135929, ENSG00000206527, ENSG00000145335, ENSG00000163624, ENSG00000052802, ENSG00000112972, ENSG00000019582, ENSG00000170271, ENSG00000001630, ENSG00000004799, ENSG00000186480, ENSG00000079459, ENSG00000147383, ENSG00000196139, ENSG00000156671, ENSG00000067064, ENSG00000177156, ENSG00000025434, ENSG00000149485, ENSG00000172893, ENSG00000110958, ENSG00000139428, ENSG00000110921, ENSG00000133935, ENSG00000167508, ENSG00000133027, ENSG00000131473, ENSG00000169710, ENSG00000141401, ENSG00000099797, ENSG00000130304, ENSG00000131069, ENSG00000160285, ENSG00000100031, ENSG00000186951
GO:1901617	organic hydroxy compound biosynthetic process	1.07896942352873e-07	0.000167563951474012	243	25	ENSG00000116133, ENSG00000160752, ENSG00000132196, ENSG00000134324, ENSG00000135929, ENSG00000145335, ENSG00000163624, ENSG00000052802, ENSG00000112972, ENSG00000001630, ENSG00000186480, ENSG00000079459, ENSG00000147383, ENSG00000196139, ENSG00000156671, ENSG00000067064, ENSG00000172893, ENSG00000110921, ENSG00000133935, ENSG00000167508, ENSG00000133027, ENSG00000040531, ENSG00000141401, ENSG00000130304, ENSG00000160285
GO:0008202	steroid metabolic process	3.6760298585977e-07	0.000504847657686122	304	27	ENSG00000116678, ENSG00000116133, ENSG00000160752, ENSG00000132196, ENSG00000135929, ENSG00000198189, ENSG00000052802, ENSG00000112972, ENSG00000112033, ENSG00000001630, ENSG00000186480, ENSG00000079459, ENSG00000170835, ENSG00000169057, ENSG00000147383, ENSG00000187134, ENSG00000196139, ENSG00000166224, ENSG00000067064, ENSG00000151632, ENSG00000172893, ENSG00000110921, ENSG00000133935, ENSG00000167508, ENSG00000130164, ENSG00000160285, ENSG00000198911
